code,name,source,confidence,logo_url,origin_url,note
HAU,Trường Đại học Kiến trúc Hà Nội,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/HAU.png,https://hau.edu.vn/images/logo.png,
HBT,Trường Đại học Công nghệ Sài Gòn,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/HBT.png,https://stu.edu.vn/images/logo1.png,
HHA,Trường Đại học Hàng hải Việt Nam,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/HHA.png,https://upload.wikimedia.org/wikipedia/vi/thumb/1/11/Bi%E1%BB%83u_tr%C6%B0ng_Tr%C6%B0%E1%BB%9Dng_%C4%91%E1%BA%A1i_h%E1%BB%8Dc_H%C3%A0ng_h%E1%BA%A3i_Vi%E1%BB%87t_Nam.svg/1280px-Bi%E1%BB%83u_tr%C6%B0ng_Tr%C6%B0%E1%BB%9Dng_%C4%91%E1%BA%A1i_h%E1%BB%8Dc_H%C3%A0ng_h%E1%BA%A3i_Vi%E1%BB%87t_Nam.svg.png,
HIU,Trường Đại học Quốc tế Hồng Bàng,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/HIU.png,https://hiu.vn/wp-content/uploads/2020/02/Logo-HBU-trang-300x76.png,
HMT,Trường Đại học Y tế Công cộng,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/HMT.jpg,https://huph.edu.vn/upload/images/logo/logo-huph-2.jpg,
KCN,Trường Đại học Khoa học và Công nghệ Hà Nội,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/KCN.jpg,https://usth.edu.vn/wp-content/uploads/2021/11/logo-number.jpg,
KMA,Học viện Kỹ thuật Mật mã,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/KMA.svg,https://vi.wikipedia.org/static/images/mobile/copyright/wikipedia-wordmark-en.svg,
KTC,Trường Đại học Kinh tế - Tài chính Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/KTC.jpg,https://static-cdn.uef.edu.vn/s-img/logo-uef-home.jpg,
KTH,Trường Đại học Kinh tế - Đại học Huế,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/KTH.jpg,https://hce.edu.vn/HUE.jpg,
LDA,Trường Đại học Lao động - Xã hội,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/LDA.png,https://ulsa.edu.vn/wp-content/uploads/2023/06/logo-footer.png,
LHN,Trường Đại học Luật Hà Nội,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/LHN.png,https://hlu.edu.vn/Content/Site/images/logo.png,
MHN,Trường Đại học Mở Hà Nội,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/MHN.png,https://upload.wikimedia.org/wikipedia/commons/9/95/Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_M%E1%BB%9F_H%C3%A0_N%E1%BB%99i.png,
MSH,Trường Đại học Mỹ thuật Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/MSH.png,https://upload.wikimedia.org/wikipedia/commons/b/b6/Logohcmufa.png,
NHA,Học viện Âm nhạc Quốc gia Việt Nam,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/NHA.png,https://upload.wikimedia.org/wikipedia/vi/thumb/9/9c/Logo_H%E1%BB%8Dc_vi%E1%BB%87n_%C3%82m_nh%E1%BA%A1c_Qu%E1%BB%91c_gia_Vi%E1%BB%87t_Nam.svg/1280px-Logo_H%E1%BB%8Dc_vi%E1%BB%87n_%C3%82m_nh%E1%BA%A1c_Qu%E1%BB%91c_gia_Vi%E1%BB%87t_Nam.svg.png,
QHI,Trường Đại học Công nghệ - Đại học Quốc gia Hà Nội,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/QHI.png,https://uet-test.uet.edu.vn/wp-content/uploads/2026/01/Logo2.png,
QHQ,Trường Quốc tế - Đại học Quốc gia Hà Nội,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/QHQ.png,https://upload.wikimedia.org/wikipedia/vi/thumb/7/76/Logo_Tr%C6%B0%E1%BB%9Dng_Qu%E1%BB%91c_t%E1%BA%BF%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Qu%E1%BB%91c_gia_H%C3%A0_N%E1%BB%99i.svg/250px-Logo_Tr%C6%B0%E1%BB%9Dng_Qu%E1%BB%91c_t%E1%BA%BF%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Qu%E1%BB%91c_gia_H%C3%A0_N%E1%BB%99i.svg.png,
QHT,Trường Đại học Khoa học Tự nhiên - Đại học Quốc gia Hà Nội,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/QHT.png,https://upload.wikimedia.org/wikipedia/vi/thumb/8/89/Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Khoa_h%E1%BB%8Dc_T%E1%BB%B1_nhi%C3%AAn%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Qu%E1%BB%91c_gia_H%C3%A0_N%E1%BB%99i.svg/1280px-Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Khoa_h%E1%BB%8Dc_T%E1%BB%B1_nhi%C3%AAn%2C_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_Qu%E1%BB%91c_gia_H%C3%A0_N%E1%BB%99i.svg.png,
QSC,Trường Đại học Công nghệ Thông tin - Đại học Quốc gia Thành phố Hồ Chí Minh,none,,,,
QSK,Trường Đại học Kinh tế - Luật - Đại học Quốc gia Thành phố Hồ Chí Minh,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/QSK.png,https://upload.wikimedia.org/wikipedia/commons/8/88/Logo_Tr%C6%B0%E1%BB%9Dng_%C4%90%E1%BA%A1i_h%E1%BB%8Dc_kinh_t%E1%BA%BF_-_Lu%E1%BA%ADt_%28UEL%29%2C_%C4%90HQG-HCM%2C_220px.png,
RMIT,Trường Đại học RMIT Việt Nam,none,,,,
SGD,Trường Đại học Sài Gòn,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/SGD.svg,https://vi.wikipedia.org/static/images/mobile/copyright/wikipedia-wordmark-en.svg,
SKD,Trường Đại học Sân khấu - Điện ảnh Hà Nội,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/SKD.png,http://skda.edu.vn/wp-content/uploads/SKDA-logo-W-2-2-1.png,
TBD,Trường Đại học Thái Bình Dương,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/TBD.svg,https://tbd.edu.vn/wp-content/uploads/2025/01/logo-TBD-white-all.svg,
TBU,Trường Đại học Tây Bắc,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/TBU.png,https://chat.utb.edu.vn/images/avatar_logo.png,
TDU,Trường Đại học Tây Nguyên,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/TDU.svg,https://vi.wikipedia.org/static/images/mobile/copyright/wikipedia-wordmark-en.svg,
TKG,Trường Đại học Kiên Giang,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/TKG.png,https://www.vnkgu.edu.vn/public/images/logo.png,
TQU,Trường Đại học Tân Trào,grounding,high,https://rxhcmmggzodoapyjxcug.supabase.co/storage/v1/object/public/school-logos/TQU.svg,https://tapchigiaoduc.edu.vn/public/images/logo.svg?2,
